year,age,total,men,women,forecast_type
2024,0 лет,1240610,638344,602266,Средний
2024,1 год,1302922,669277,633645,Средний
2024,2 года,1392772,716930,675842,Средний
2024,3 года,1427114,734750,692364,Средний
2024,4 года,1481864,762502,719362,Средний
2024,5 лет,1605083,827894,777189,Средний
2024,6 лет,1690816,870028,820788,Средний
2024,7 лет,1888406,971007,917399,Средний
2024,8 лет,1952380,1003180,949200,Средний
2024,9 лет,1935978,996652,939326,Средний
2024,10 лет,1920588,987037,933551,Средний
2024,11 лет,1931179,994014,937165,Средний
2024,12 лет,1826529,938899,887630,Средний
2024,13 лет,1775349,914414,860935,Средний
2024,14 лет,1728652,888401,840251,Средний
2024,15 лет,1723058,883382,839676,Средний
2024,16 лет,1621781,832095,789686,Средний
2024,17 лет,1490670,766226,724444,Средний
2024,18 лет,1530308,787727,742581,Средний
2024,19 лет,1501974,774153,727821,Средний
2024,20 лет,1550603,799287,751316,Средний
2024,21 лет,1516390,788478,727912,Средний
2024,22 лет,1419553,736206,683347,Средний
2024,23 лет,1530664,793495,737169,Средний
2024,24 лет,1424324,734220,690104,Средний
2024,25 лет,1406597,716272,690325,Средний
2024,26 лет,1342295,681795,660500,Средний
2024,27 лет,1488796,756172,732624,Средний
2024,28 лет,1598157,804966,793191,Средний
2024,29 лет,1538559,777511,761048,Средний
2024,30 лет,1578729,789625,789104,Средний
2024,31 лет,1774801,880577,894224,Средний
2024,32 лет,1964165,975375,988790,Средний
2024,33 лет,2377896,1186137,1191759,Средний
2024,34 лет,2432089,1201964,1230125,Средний
2024,35 лет,2483591,1222404,1261187,Средний
2024,36 лет,2604163,1282813,1321350,Средний
2024,37 лет,2626805,1296938,1329867,Средний
2024,38 лет,2623547,1291359,1332188,Средний
2024,39 лет,2460023,1206445,1253578,Средний
2024,40 лет,2505367,1216384,1288983,Средний
2024,41 лет,2362792,1141828,1220964,Средний
2024,42 лет,2234372,1079593,1154779,Средний
2024,43 лет,2446542,1193036,1253506,Средний
2024,44 лет,2205701,1059223,1146478,Средний
2024,45 лет,2171687,1038614,1133073,Средний
2024,46 лет,2046199,969176,1077023,Средний
2024,47 лет,2134446,1014271,1120175,Средний
2024,48 лет,2134976,1010111,1124865,Средний
2024,49 лет,2001519,947242,1054277,Средний
2024,50 лет,1903709,894159,1009550,Средний
2024,51 лет,1923277,901913,1021364,Средний
2024,52 лет,1842523,863204,979319,Средний
2024,53 лет,1957094,928315,1028779,Средний
2024,54 лет,1756156,816605,939551,Средний
2024,55 лет,1749446,808379,941067,Средний
2024,56 лет,1633416,743521,889895,Средний
2024,57 лет,1697103,767669,929434,Средний
2024,58 лет,1827485,823699,1003786,Средний
2024,59 лет,1777474,784346,993128,Средний
2024,60 лет,1938722,848806,1089916,Средний
2024,61 лет,1948601,837734,1110867,Средний
2024,62 лет,2019376,859568,1159808,Средний
2024,63 лет,2208600,941964,1266636,Средний
2024,64 лет,2013238,838766,1174472,Средний
2024,65 лет,1990798,816449,1174349,Средний
2024,66 лет,1865873,754098,1111775,Средний
2024,67 лет,1827537,726622,1100915,Средний
2024,68 лет,1795085,702340,1092745,Средний
2024,69 лет,1720973,658560,1062413,Средний
2024,70 лет,1516576,569748,946828,Средний
2024,71 лет,1509309,557844,951465,Средний
2024,72 лет,1390887,499354,891533,Средний
2024,73 лет,1374823,494582,880241,Средний
2024,74 лет,1319204,456261,862943,Средний
2024,75 лет,1052360,357520,694840,Средний
2024,76 лет,962103,318718,643385,Средний
2024,77 лет,840499,272418,568081,Средний
2024,78 лет,530596,175856,354740,Средний
2024,79 лет,346431,107659,238772,Средний
2024,80 лет,313150,95355,217795,Средний
2024,81 лет,426835,120177,306658,Средний
2024,82 лет,602129,158415,443714,Средний
2024,83 лет,603607,159306,444301,Средний
2024,84 лет,594354,148021,446333,Средний
2024,85 лет и более,2346966,545439,1801527,Средний
2024,Все население,146079696,67901819,78177877,Средний
2025,0 лет,1168214,601100,567114,Средний
2025,1 год,1242770,639418,603352,Средний
2025,2 года,1306055,670913,635142,Средний
2025,3 года,1396047,718623,677424,Средний
2025,4 года,1430269,736352,693917,Средний
2025,5 лет,1485045,764118,720927,Средний
2025,6 лет,1608360,829574,778786,Средний
2025,7 лет,1694138,871713,822425,Средний
2025,8 лет,1891454,972539,918915,Средний
2025,9 лет,1955089,1004531,950558,Средний
2025,10 лет,1938575,997958,940617,Средний
2025,11 лет,1923085,988292,934793,Средний
2025,12 лет,1933521,995145,938376,Средний
2025,13 лет,1828810,939991,888819,Средний
2025,14 лет,1777763,915556,862207,Средний
2025,15 лет,1731121,889571,841550,Средний
2025,16 лет,1725267,884495,840772,Средний
2025,17 лет,1624765,833826,790939,Средний
2025,18 лет,1496211,769631,726580,Средний
2025,19 лет,1537069,791672,745397,Средний
2025,20 лет,1507547,776998,730549,Средний
